date,Usage,Hour,LagRP,LeadRP,LagPF,LeadPF,CO2,Ltype,Wstatus,Dweek
2018-01-01,13.72,1,14.25,0,0,100,0,Light_Load,Weekday,Monday
2018-01-01,14.3,2,16.48,0,0,100,0,Light_Load,Weekday,Monday
2018-01-01,13.76,3,16.03,0,0,100,0,Light_Load,Weekday,Monday
2018-01-01,14.47,4,17.56,0,0,100,0,Light_Load,Weekday,Monday
2018-01-01,13.89,5,16.24,0,0,100,0,Light_Load,Weekday,Monday
2018-01-01,14.18,6,15.98,0,0,100,0,Light_Load,Weekday,Monday
2018-01-01,13.79,7,14.98,0,0,100,0,Light_Load,Weekday,Monday
2018-01-01,13.64,8,15.62,0,0,100,0,Light_Load,Weekday,Monday
2018-01-01,14.44,9,12.95,15.84,0,67.37,0,Light_Load,Weekday,Monday
2018-01-01,15.19,10,0,74.34,100,0,0,Light_Load,Weekday,Monday
2018-01-01,15.59,11,0,80.64,100,0,0,Light_Load,Weekday,Monday
2018-01-01,14.44,12,0,21.74,100,0,0,Light_Load,Weekday,Monday
2018-01-01,15.19,13,0,69.34,100,0,0,Light_Load,Weekday,Monday
2018-01-01,15.84,14,0,80.46,100,0,0,Light_Load,Weekday,Monday
2018-01-01,15.16,15,0,73.72,100,0,0,Light_Load,Weekday,Monday
2018-01-01,15.58,16,0,77.94,100,0,0,Light_Load,Weekday,Monday
2018-01-01,15.49,17,0,78.41,100,0,0,Light_Load,Weekday,Monday
2018-01-01,14.86,18,0,75.21,100,0,0,Light_Load,Weekday,Monday
2018-01-01,15.16,19,0,53.24,100,0,0,Light_Load,Weekday,Monday
2018-01-01,14.9,20,0,76.36,100,0,0,Light_Load,Weekday,Monday
2018-01-01,15.54,21,0,83.77,100,0,0,Light_Load,Weekday,Monday
2018-01-01,14.87,22,0,77.87,100,0,0,Light_Load,Weekday,Monday
2018-01-01,14,23,12.74,10.08,73.96,0,0,Light_Load,Weekday,Monday
2018-01-01,13.86,24,13.79,0,0,100,0,Light_Load,Weekday,Monday
2018-01-02,13.68,1,14.98,0,0,100,0,Light_Load,Weekday,Tuesday
2018-01-02,14.41,2,17.03,0,0,100,0,Light_Load,Weekday,Tuesday
2018-01-02,13.83,3,15.99,0,0,100,0,Light_Load,Weekday,Tuesday
2018-01-02,14.4,4,16.73,0,0,100,0,Light_Load,Weekday,Tuesday
2018-01-02,13.76,5,15.01,0,0,100,0,Light_Load,Weekday,Tuesday
2018-01-02,14.04,6,15.23,0,0,100,0,Light_Load,Weekday,Tuesday
2018-01-02,13.86,7,14.44,0,0,100,0,Light_Load,Weekday,Tuesday
2018-01-02,22.61,8,17.39,0,0,100,0,Light_Load,Weekday,Tuesday
2018-01-02,183.47,9,95.34,0.18,0,100,0,Light_Load,Weekday,Tuesday
2018-01-02,209.04,10,22.26,2.63,99.44,0,0,Medium_Load,Weekday,Tuesday
2018-01-02,265.79,11,73.76,0.25,96.36,0,0,Maximum_Load,Weekday,Tuesday
2018-01-02,487.15,12,269.68,0,87.49,0,0,Maximum_Load,Weekday,Tuesday
2018-01-02,43.95,13,5.54,95.65,99.21,0,0,Medium_Load,Weekday,Tuesday
2018-01-02,410.58,14,167.22,6.52,92.61,0,0,Medium_Load,Weekday,Tuesday
2018-01-02,478.19,15,197.25,0,92.44,0,0,Medium_Load,Weekday,Tuesday
2018-01-02,474.18,16,210.88,0,91.37,0,0,Medium_Load,Weekday,Tuesday
2018-01-02,456.56,17,187.67,0,92.49,0,0,Medium_Load,Weekday,Tuesday
2018-01-02,372.89,18,122.22,1.04,95.03,0,0,Maximum_Load,Weekday,Tuesday
2018-01-02,154.47,19,45.97,2.22,95.85,0,0,Maximum_Load,Weekday,Tuesday
2018-01-02,154.9,20,18.93,2.77,99.26,0,0,Maximum_Load,Weekday,Tuesday
2018-01-02,79.24,21,1.51,62.82,99.98,0,0,Medium_Load,Weekday,Tuesday
2018-01-02,22.21,22,0,104.54,100,0,0,Medium_Load,Weekday,Tuesday
2018-01-02,18.93,23,17.35,15.44,73.72,0,0,Maximum_Load,Weekday,Tuesday
2018-01-02,18.29,24,17.25,0,0,100,0,Light_Load,Weekday,Tuesday
2018-01-03,18.36,1,18.26,0,0,100,0,Light_Load,Weekday,Wednesday
2018-01-03,18.46,2,18.32,0,0,100,0,Light_Load,Weekday,Wednesday
2018-01-03,18.46,3,18.64,0,0,100,0,Light_Load,Weekday,Wednesday
2018-01-03,18.53,4,18.97,0,0,100,0,Light_Load,Weekday,Wednesday
2018-01-03,18.33,5,17.42,0,0,100,0,Light_Load,Weekday,Wednesday
2018-01-03,18.25,6,17.28,0,0,100,0,Light_Load,Weekday,Wednesday
2018-01-03,18.36,7,17.79,0,0,100,0,Light_Load,Weekday,Wednesday
2018-01-03,28.08,8,17.47,0,0,100,0,Light_Load,Weekday,Wednesday
2018-01-03,326.16,9,142.56,0,0,100,0.0375,Light_Load,Weekday,Wednesday
2018-01-03,364.79,10,100.59,0.04,96.4,0,0.04,Medium_Load,Weekday,Wednesday
2018-01-03,274.86,11,84.02,0.04,95.63,0,0.03,Maximum_Load,Weekday,Wednesday
2018-01-03,279.39,12,160.91,0,86.66,0,0.0325,Maximum_Load,Weekday,Wednesday
2018-01-03,35.32,13,0.5,97.96,99.99,0,0.0025,Medium_Load,Weekday,Wednesday
2018-01-03,217,14,69.58,6.08,95.22,0,0.025,Medium_Load,Weekday,Wednesday
2018-01-03,260.24,15,93.89,0,94.07,0,0.0325,Medium_Load,Weekday,Wednesday
2018-01-03,270.87,16,100.76,0,93.73,0,0.03,Medium_Load,Weekday,Wednesday
2018-01-03,425.2,17,144.39,0,94.69,0,0.0475,Medium_Load,Weekday,Wednesday
2018-01-03,454.1,18,146.56,1.69,95.17,0,0.05,Maximum_Load,Weekday,Wednesday
2018-01-03,156.1,19,40.82,2.66,96.75,0,0.02,Maximum_Load,Weekday,Wednesday
2018-01-03,158.18,20,11.48,4.21,99.74,0,0.02,Maximum_Load,Weekday,Wednesday
2018-01-03,120.85,21,10.52,32.57,99.62,0,0.015,Medium_Load,Weekday,Wednesday
2018-01-03,23.69,22,0,105.18,100,0,0,Medium_Load,Weekday,Wednesday
2018-01-03,19,23,17.29,15.16,73.96,0,0,Maximum_Load,Weekday,Wednesday
2018-01-03,18.47,24,17.57,0,0,100,0,Light_Load,Weekday,Wednesday
2018-01-04,18.5,1,18.61,0,0,100,0,Light_Load,Weekday,Thursday
2018-01-04,18.54,2,19,0,0,100,0,Light_Load,Weekday,Thursday
2018-01-04,18.54,3,19.48,0,0,100,0,Light_Load,Weekday,Thursday
2018-01-04,18.58,4,19.87,0,0,100,0,Light_Load,Weekday,Thursday
2018-01-04,18.5,5,18.62,0,0,100,0,Light_Load,Weekday,Thursday
2018-01-04,18.47,6,17.93,0,0,100,0,Light_Load,Weekday,Thursday
2018-01-04,18.46,7,18.71,0,0,100,0,Light_Load,Weekday,Thursday
2018-01-04,24.77,8,18.98,0,0,100,0,Light_Load,Weekday,Thursday
2018-01-04,458.89,9,256.03,0,0,100,0.0525,Light_Load,Weekday,Thursday
2018-01-04,508.39,10,195.62,0,93.33,0,0.0575,Medium_Load,Weekday,Thursday
2018-01-04,428.62,11,139.82,0,95.07,0,0.05,Maximum_Load,Weekday,Thursday
2018-01-04,477.79,12,240.98,0,89.29,0,0.055,Maximum_Load,Weekday,Thursday
2018-01-04,36.65,13,3.85,98.53,99.45,0,0.0025,Medium_Load,Weekday,Thursday
2018-01-04,439.52,14,148.25,1.19,94.75,0,0.0525,Medium_Load,Weekday,Thursday
2018-01-04,476.39,15,168.08,0,94.3,0,0.055,Medium_Load,Weekday,Thursday
2018-01-04,474.41,16,181.98,0,93.37,0,0.0525,Medium_Load,Weekday,Thursday
2018-01-04,450.18,17,159.92,0,94.23,0,0.0525,Medium_Load,Weekday,Thursday
2018-01-04,361.09,18,104.35,5.58,96.07,0,0.0425,Maximum_Load,Weekday,Thursday
2018-01-04,204.88,19,93.39,0.54,90.99,0,0.0225,Maximum_Load,Weekday,Thursday
2018-01-04,227.13,20,91.12,0,92.81,0,0.0225,Maximum_Load,Weekday,Thursday
2018-01-04,216.72,21,83.59,2.81,93.3,0,0.025,Medium_Load,Weekday,Thursday
2018-01-04,24.77,22,0,101.27,100,0,0,Medium_Load,Weekday,Thursday
2018-01-04,19.4,23,20.88,14.65,68.07,0,0,Maximum_Load,Weekday,Thursday
2018-01-04,18.53,24,20.05,0,0,100,0,Light_Load,Weekday,Thursday
2018-01-05,18.8,1,21.49,0,0,100,0,Light_Load,Weekday,Friday
2018-01-05,18.58,2,20.23,0,0,100,0,Light_Load,Weekday,Friday
2018-01-05,18.6,3,20.23,0,0,100,0,Light_Load,Weekday,Friday
2018-01-05,18.62,4,20.12,0,0,100,0,Light_Load,Weekday,Friday
2018-01-05,18.44,5,19.08,0,0,100,0,Light_Load,Weekday,Friday
2018-01-05,18.53,6,19.62,0,0,100,0,Light_Load,Weekday,Friday
2018-01-05,18.47,7,19.23,0,0,100,0,Light_Load,Weekday,Friday
2018-01-05,23.9,8,20.2,0,0,100,0,Light_Load,Weekday,Friday
2018-01-05,424.94,9,233.57,0,0,100,0.0475,Light_Load,Weekday,Friday
2018-01-05,462.39,10,153.72,0,94.89,0,0.0525,Medium_Load,Weekday,Friday
2018-01-05,452.42,11,161.6,0,94.17,0,0.0525,Maximum_Load,Weekday,Friday
2018-01-05,478.04,12,235.83,0,89.68,0,0.055,Maximum_Load,Weekday,Friday
2018-01-05,33.31,13,0.72,98.07,99.98,0,0,Medium_Load,Weekday,Friday
2018-01-05,358.49,14,107.75,7.6,95.77,0,0.04,Medium_Load,Weekday,Friday
